tweet_id,published_at_utc,published_at_kst,post_type,category,category_label,confidence,needs_review,like_count,retweet_count,reply_count,quote_count,view_count,observed_at,hashtags,mentions,masked_mention_count,media_count,language,text,url
2081262990440235172,2026-07-26T06:18:59.000Z,2026-07-26 15:18,original,society,사회,0.727,False,2257,546,265,17,57907,2026-07-26T12:39:02.685Z,,,0,0,ko,"<대포차는 범죄에 악용되면서도 사실상 방치되고 있었는데, 경찰청 국수본이 이러한 대포차를 집중단속한 것은 매우 잘한 일입니다.  ⏎  ⏎ 감사하고 응원합니다. ⏎  ⏎ 다른 민생침해 사범들도 신속 철저히 단속해 국민들의 걱정을 줄여 주시기 바랍니다.> ⏎  ⏎ 경찰, 5개월간 대포차 1928대 적발…380명 검거 (출처 : 네이버 뉴스)",https://x.com/Jaemyung_Lee/status/2081262990440235172
2081229592971591822,2026-07-26T04:06:16.000Z,2026-07-26 13:06,original,diplomacy,외교·통상,0.625,False,2288,524,261,18,52574,2026-07-26T12:39:02.685Z,,,0,0,ko,"정열과 풍요의 대륙 남미로 향합니다.  ⏎  ⏎ 브라질, 칠레, 아르헨티나는 남미 정치·경제·문화를 이끌어 온 핵심 국가들입니다. 이번 순방은 대한민국 실용외교의 지평을 남미로 넓히고, 미래 성장의 기반이 될 경제협력을 더욱 강화하는 뜻깊은 여정이 될 것입니다. ⏎  ⏎ 첫 방문지는 세계에서 다섯 번째로 넓은 영토와 남미 최대의 경제 규모를 자랑하는 브라질입니다. 지리적으로는 멀리 떨어져 있지만, 룰라 대통령님과는 지난 1년 동안 여러 차례 만나며 깊은 우정을 쌓아왔습니다.  ⏎  ⏎ 이번 방문을 통해 양국 간 신뢰를 더욱 굳건히 하고, 국민들이 체감할 수 있는 협력의 성과를 함께 만들어 가겠습니다. ⏎  ⏎ 늘 따뜻한 미소와 특유의 친화력으로 맞아주셨던 룰라 대통령님의 얼굴이 눈앞에 선합니다. 마치 오랜 친구를 만나러 가는 것처럼 설레는 마음도 함께합니다 ^^ ⏎  ⏎ @LulaOficial 대통령님, 곧 브라질리아에서 뵙겠습니다!  ⏎  ⏎ Rumo à América do Sul, um continente de paixão e prosperidade. ⏎  ⏎ Brasil, Chile e Argentina têm sido os países fundamentais para a política, a economia e a cultura sul-americanas. Esta visita oficial será uma jornada significativa para expandir os horizontes da diplomacia pragmática da Coreia do Sul rumo à América do Sul e fortalecer ainda mais a cooperação econômica, que servirá de base para o crescimento futuro. ⏎  ⏎ O primeiro destino é o Brasil, o quinto maior país do mundo em área territorial e a maior economia da América do Sul. Embora estejamos geograficamente distantes, construí uma profunda amizade com o Presidente Lula, com quem me encontrei diversas vezes ao longo do último ano. ⏎  ⏎ Por meio desta visita, consolidaremos ainda mais a confiança entre nossos países e criaremos juntos resultados concretos de cooperação que nossos povos possam sentir no dia a dia. ⏎  ⏎ Já consigo imaginar o rosto do Presidente Lula, que sempre me acolheu com um sorriso caloroso e sua afinidade característica. Sinto a mesma emoção de quem vai ao encontro de um velho amigo. ⏎  ⏎ Presidente @LulaOficial, nos vemos em breve em Brasília🙂",https://x.com/Jaemyung_Lee/status/2081229592971591822
2081223859064160512,2026-07-26T03:43:29.000Z,2026-07-26 12:43,original,culture,문화·체육,0.455,False,2310,490,130,7,44584,2026-07-26T12:39:02.685Z,,,0,1,ko,"1883년 조선의 첫 공식 사절단인 보빙사가 첫발을 내딛고, 도산 안창호 선생께서 조국의 내일을 준비하셨던 샌프란시스코에서 우리 재외동포 여러분을 만나 뵙게 되어 더욱 뜻깊은 시간이었습니다. ⏎  ⏎ 선조들의 개척 정신을 이어받아 새로운 길을 두려워하지 않고, 혼자의 성공보다 함께 성장하는 가치를 실천해 오신 덕분에 오늘날 우리 동포들은 첨단기술과 경제, 문화예술 등 여러 분야에서 존중과 신뢰를 받으며 대한민국의 위상을 높이고 있습니다. ⏎  ⏎ 머나먼 타국에서 흘리신 수많은 땀방울은 오늘의 대한민국을 있게 한 밑거름이 되었습니다. 조국을 향한 자긍심을 지켜오신 동포 여러분께 다시 한번 깊은 존경과 감사의 마음을 전합니다.  ⏎  ⏎ 대한민국이 우리 동포 여러분께 언제나 자랑스러운 조국이 될 수 있도록 더욱 최선을 다하겠습니다. 각자의 자리에서 대한민국을 빛내고 계신 모든 재외동포 여러분의 건강과 행복을 온 마음으로 기원합니다.",https://x.com/Jaemyung_Lee/status/2081223859064160512
2081129314444255525,2026-07-25T21:27:48.000Z,2026-07-26 06:27,quote,diplomacy,외교·통상,0.0,True,2242,455,255,29,111381,2026-07-26T12:39:02.685Z,,,2,0,es,"Estimado Presidente Milei, ⏎ Agradezco sinceramente su interés por la República de Corea, expresado en su cuenta @[비공개]. ⏎ Corea y Argentina tienen mucho por trabajar juntos. ⏎ Espero que podamos avanzar de la mano hacia un nuevo futuro de prosperidad compartida. ⏎ Anticipo con gran entusiasmo nuestro encuentro. ⏎  ⏎ Lee Jae-myung, President of the Republic of Korea  ⏎  ⏎ 존경하는 아르헨티나 밀레이 대통령님@[비공개]  ⏎ 대통령님의 대한민국에 대한 관심에 감사드립니다.  ⏎ 한국과 아르헨티나는 함께 할 일이 많습니다.  ⏎ 공동번영의 새로운 미래를 향해 양국이 손잡고 나아가면 좋겠습니다.  ⏎ 대통령님과의 만남이 크게 기대됩니다.  ⏎ 대한민국 대통령 이재명",https://x.com/Jaemyung_Lee/status/2081129314444255525
2080895850256183393,2026-07-25T06:00:06.000Z,2026-07-25 15:00,original,defense,국방·안보,0.0,True,3590,899,391,28,145417,2026-07-26T12:39:02.685Z,,,0,0,ko,"<EU의 러시아 LNG 제재와 관련해, 우리 기업이 제재 대상에서 예외로 인정됐다는 반가운 소식을 접했습니다. ⏎  ⏎ 지난 6월 EU 정상들과의 회담 때 우리 에너지 안보를 위해 예외적인 허용이 필요하다고 설명드렸고, 적극적인 관심을 당부드렸습니다. ⏎  ⏎ 에너지 수급의 불확실성이 높아지는 상황에서 국민의 일상과 우리 경제에 큰 도움이 될 것으로 기대합니다. 앞으로도 빈틈없는 대응으로 국민의 삶과 국익을 지켜내는 일에 최선을 다하겠습니다.>",https://x.com/Jaemyung_Lee/status/2080895850256183393
2080874423272559075,2026-07-25T04:34:57.000Z,2026-07-25 13:34,original,tech,과학기술·AI,0.333,False,4411,997,498,53,104460,2026-07-26T12:39:02.685Z,,,0,1,ko,인간 중심 혁신의 역사가 살아 숨 쉬는 샌프란시스코에서 인간과 AI가 조화롭게 공존하며 함께 성장하는 미래를 위한 국제사회의 협력을 제안드렸습니다. ⏎  ⏎ 담대한 도전에 동참해 주신 모든 기업인 여러분께 깊은 감사를 전합니다. 대한민국은 여러분의 가장 든든한 파트너가 될 것을 약속드립니다. 🇰🇷🇺🇸,https://x.com/Jaemyung_Lee/status/2080874423272559075
2080844103865303229,2026-07-25T02:34:29.000Z,2026-07-25 11:34,original,tech,과학기술·AI,0.538,False,4190,936,443,61,195163,2026-07-26T12:39:02.685Z,,,0,4,ko,"세계 AI 산업을 이끌어 가고 계신 네 분과 마주 앉았습니다. 혁신의 도시 샌프란시스코에서 다리오 아모데이 앤트로픽 대표, 샘 알트만 오픈AI 대표, 젠슨 황 엔비디아 대표, 혹 탄 브로드컴 대표를 차례로 만나 AI 시대의 협력과 미래를 함께 이야기했습니다. ⏎  ⏎ AI 시대는 어느 한 나라나 한 기업의 힘만으로 열어갈 수 없는 만큼, 함께 연결하고, 함께 투자하며, 함께 성장할 때 더 큰 미래를 만들어 갈 수 있다는 데 뜻을 같이했습니다. ⏎  ⏎ 무엇보다 인상 깊었던 것은 네 분 모두 대한민국을 중요한 협력 파트너로 바라보고 있다는 점이었습니다. 우리가 가진 세계 최고 수준의 반도체 경쟁력과 우수한 인재, 높은 기술 수용성에 대한 두터운 신뢰를 확인할 수 있었습니다.  ⏎  ⏎ 대한민국은 세계와 협력하며 AI 시대를 선도하는 나라로 힘차게 나아가겠습니다. 과감한 투자와 혁신을 이어가고, 글로벌 파트너들과 함께 AI 생태계를 더욱 탄탄히 키워갈 것입니다. ⏎  ⏎ AI가 만들어 낼 성장의 결실이 숫자에만 머무르지 않고 국민 한 분 한 분의 더 나은 삶으로, 우리 청년들의 더 큰 기회로 이어질 수 있도록 최선을 다하겠습니다.",https://x.com/Jaemyung_Lee/status/2080844103865303229
2080697059800400006,2026-07-24T16:50:11.000Z,2026-07-25 01:50,original,diplomacy,외교·통상,0.9,False,3768,695,528,25,114033,2026-07-26T12:39:02.685Z,이재명 대통령 US sanfrancisco california,,0,1,ko,이번 정류장은 샌프란시스코입니다 🇰🇷🇺🇸 ⏎  ⏎ https://youtube.com/shorts/u4Yg1dkilMY ⏎  ⏎ #이재명 #대통령 #US #sanfrancisco #california,https://x.com/Jaemyung_Lee/status/2080697059800400006
2080519958929563945,2026-07-24T05:06:27.000Z,2026-07-24 14:06,original,diplomacy,외교·통상,0.9,False,4863,897,1171,85,218454,2026-07-26T12:39:02.685Z,sanfrancisco brazil chile argentina frankfurt,,0,1,ko,다녀오겠습니다 🇺🇸🇧🇷🇨🇱🇦🇷🇩🇪 ⏎  ⏎ http://youtube.com/shorts/MgvzCMx-3B4 ⏎  ⏎ #sanfrancisco #brazil #chile #argentina #frankfurt,https://x.com/Jaemyung_Lee/status/2080519958929563945
2080278581687836980,2026-07-23T13:07:18.000Z,2026-07-23 22:07,quote,society,사회,0.429,False,6629,1362,1237,175,794066,2026-07-26T12:39:02.685Z,,,0,0,ko,미안합니다. 김영훈 노동부 장관님. ⏎  ⏎ 그런데 장관님이 잠 좀 못 주무시는만큼 누군가 죽을 사람들이 살아남습니다. ⏎  ⏎ 열심히 일해 주셔서 진심으로 감사합니다.  ⏎  ⏎ 장관님 때문에 목숨을 건지고 가정을 지킨 사람들이 참 많습니다.,https://x.com/Jaemyung_Lee/status/2080278581687836980
